name,trip_count,route_count,geometry
Alpha College Chikka Gubbi,5,3,POINT (77.66202 13.077)
Aluru,2,1,POINT (77.46561 13.0849)
Aluru Cross,74,16,POINT (77.47479 13.0824)
Amarajyothi Badavane,28,4,POINT (77.62932 13.05525)
Ambalagere,58,20,POINT (77.38658 13.24327)
Ambedkar Institute of Technology,120,54,POINT (77.50502 12.96319)
Ambedkar Nagara,14,3,POINT (77.71286 12.89914)
Amma Ashrama Cross,13,8,POINT (77.48882 12.94936)
Amogha Layout,6,4,POINT (77.71806 13.07509)
Amrutha Engineering College,1,1,POINT (77.6752 12.8968)
Amruthahalli,9,1,POINT (77.60076 13.06574)
Amruthanagara,19,7,POINT (77.54995 12.83943)
Amruthanagara Canara Bank,5,3,POINT (77.59969 13.05518)
Anagalipura,14,4,POINT (77.68241 13.06838)
Anagalipura Gate,2,1,POINT (77.67885 13.07306)
Ananda Ashrama (BGT Rd),32,3,POINT (77.60062 12.9275)
Ananda Rao Circle,304,72,POINT (77.57466 12.98115)
Anandapura,12,6,POINT (77.6927 13.0241)
Ananthapura Gate,14,5,POINT (77.57907 13.11478)
Anche Muskuru,29,10,POINT (77.86795 12.9043)
Anchepalya,316,73,POINT (77.45795 12.89261)
Anchipura,6,3,POINT (77.43196 12.77008)
Anchipura Colony,49,15,POINT (77.43854 12.76759)
Anchipura Cross,13,6,POINT (77.44125 12.79009)
Andhrahalli,27,7,POINT (77.48484 13.00802)
Andhrahalli Gate,9,4,POINT (77.74529 13.11545)
Andhrahalli Govt School,59,10,POINT (77.48295 13.00956)
Ane Hosahalli Gate,1,1,POINT (77.51387 12.62071)
Anekal,11,5,POINT (77.69641 12.70939)
Anekal Circle,106,15,POINT (77.70018 12.71677)
Anekal Road Junction,3,2,POINT (77.77016 12.76853)
Anepalya,5,2,POINT (77.60532 12.95289)
Anjananagara,27,10,POINT (77.48817 12.98617)
Anjanapura,36,11,POINT (77.56385 12.862)
Anjanapura 10th Block,31,7,POINT (77.56907 12.85593)
Anjanapura 1st Block,1,1,POINT (77.54813 12.85998)
Anjanapura 2nd Block,16,5,POINT (77.55253 12.86563)
Anjanapura 2nd Block Cross (LBSN),4,3,POINT (77.55939 12.86054)
Anjanapura Cross,2,1,POINT (77.56091 12.86183)
Anjaneya Temple Bidaraguppe,30,6,POINT (77.78283 12.80086)
Anjaneya Temple Devanahalli,13,7,POINT (77.71302 13.2351)
Anjaneya Temple Madhure,64,21,POINT (77.44486 13.20998)
Anjaneya Temple Nelamangala,206,34,POINT (77.39774 13.09723)
Anjaneya Temple Thigalarapalya,98,17,POINT (77.48343 13.01371)
Ankanahalli,43,9,POINT (77.79838 13.20433)
Ankegowdana Doddy,37,10,POINT (77.51733 12.70677)
Annahalli,2,1,POINT (77.38452 12.69958)
Annapoorneshwarinagara,38,12,POINT (77.50687 12.98077)
Annapoorneshwarinagara Cross,141,30,POINT (77.49658 12.97002)
Annasandrapalya Cross,43,1,POINT (77.66622 12.96039)
Anugondanahalli,110,32,POINT (77.81546 12.95716)
Anugondanahalli Cross,53,17,POINT (77.81583 12.95894)
Anupahalli,3,1,POINT (77.85612 13.21548)
Aparel Park,5,1,POINT (77.55193 13.27257)
Apex Bank,28,8,POINT (77.55567 12.94183)
Apollo Hospital,10,6,POINT (77.59972 12.89635)
Appasandra,2,1,POINT (77.89659 13.06317)
Aradeshanahalli Gate,22,11,POINT (77.55266 13.21648)
Arahalli,18,4,POINT (77.9487 13.22301)
Arakere Gate,12,6,POINT (77.59817 12.89053)
Aralalusandra,139,48,POINT (77.45385 12.73311)
Aralalusandra Cross,293,63,POINT (77.46301 12.74341)
Aralimara (PK Kalyana Mantapa ),17,6,POINT (77.62456 12.87985)
Aralimara Industrial Area  Rajajinagara,2,2,POINT (77.54893 12.97855)
Aralimara Sunkadakatte,12,3,POINT (77.50467 12.99209)
Aralimaradapalya Cross,12,6,POINT (77.36 12.92656)
Aralumallige,2,1,POINT (77.50935 13.27372)
Arasanahalli,105,42,POINT (77.79732 13.20152)
Aravinda Limited,5,3,POINT (77.67016 12.81475)
Arch Lingadeeranahalli,21,7,POINT (77.48872 12.99961)
Arch Railway Gollahalli,6,3,POINT (77.41187 13.14818)
