name,trip_count,route_count,geometry
Bidiganahalli Cross,92,18,POINT (77.80463 13.25622)
Big Bazzar  ITPL,3,2,POINT (77.7318 12.98795)
Big Bazzar ITPL,7,4,POINT (77.73061 12.98827)
Bikashipura,3,2,POINT (77.55768 12.89818)
Bikkanahalli,91,37,POINT (77.75999 12.83667)
Bilavaradahalli,32,12,POINT (77.57677 12.83624)
Bilavaradahalli Cross,1,1,POINT (77.57238 12.82244)
Bilekahalli,40,13,POINT (77.60112 12.90079)
Bileshivale,86,36,POINT (77.6709 13.0546)
Bilijaji,3,2,POINT (77.47337 13.12638)
Bilijaji Cross,13,8,POINT (77.47565 13.12583)
Bilikallu,71,18,POINT (77.47996 12.97515)
Billa Kempanahalli Gate,18,7,POINT (77.40408 12.81212)
Billapura,33,10,POINT (77.785 12.83742)
Billinakote,37,9,POINT (77.27177 13.19776)
Bingipura,34,11,POINT (77.63222 12.8257)
Bingipura Cross,2,2,POINT (77.62297 12.82578)
Binnamangala,187,46,POINT (77.64067 12.9835)
Binnamangala Towads Nelamangala),19,1,POINT (77.41242 13.08744)
Binny MIll,7,3,POINT (77.56817 12.9653)
Binny Mill,60,22,POINT (77.56621 12.97036)
Binny Mill ETA Garden,2,1,POINT (77.56639 12.97325)
Binnypet,132,19,POINT (77.56171 12.96448)
Biocon Jigani Road,21,4,POINT (77.6638 12.80784)
Bisanahalli,49,2,POINT (77.81304 13.00884)
Bisanahalli Cross,5,3,POINT (77.81418 13.00916)
Biscuits Factory,136,22,POINT (77.44975 13.08213)
Bishop Coton Girls High School,5,4,POINT (77.6014 12.96889)
Bloom Field Garden,58,20,POINT (77.55331 13.06573)
Bolamaranahalli,7,2,POINT (77.39788 13.15942)
Bolare,22,12,POINT (77.48468 12.75429)
Bolare Gate,4,1,POINT (77.48462 12.75413)
Bombay Dyeing Yashwanthapura,136,27,POINT (77.55751 13.02491)
Bombay Estate Guruvanahalli,83,16,POINT (77.35568 13.05285)
Bommanabande,137,27,POINT (77.87171 13.01208)
Bommanahalli,122,29,POINT (77.6285 12.90696)
Bommanahalli Fly Over,11,5,POINT (77.63017 12.90488)
Bommandahalli,90,17,POINT (77.64278 12.75406)
Bommasandra,150,32,POINT (77.68864 12.81857)
Bommasandra Village,3,2,POINT (77.69891 12.8169)
Bommashettyhalli,1,1,POINT (77.41895 13.1308)
Bommashettyhalli Cross,5,4,POINT (77.41664 13.12581)
Bommawara Gate,1,1,POINT (77.67758 13.26641)
Bommenahalli,2,1,POINT (77.7468 13.07449)
Bommenahalli Colony,3,1,POINT (77.74504 13.07103)
Bone Mill,5,3,POINT (77.50503 13.06385)
Book Factory Thanisandra,18,10,POINT (77.63336 13.06159)
Boorugunte,131,39,POINT (77.78376 12.8422)
Boothanahalli,1,1,POINT (77.56044 12.80452)
Boppanahalli Chikkapura,15,3,POINT (77.90307 12.99583)
Borehalli,10,5,POINT (77.35808 12.84352)
Brigade Atmosphere,32,9,POINT (77.73925 13.26543)
Brigade Millenium,152,46,POINT (77.58172 12.89224)
Brigade Omega Apartment,155,11,POINT (77.52894 12.89286)
Brigade Road,74,17,POINT (77.60678 12.97149)
Brook Haven JP Nagara 8th Phase,7,4,POINT (77.57604 12.87154)
Brook Steel ESI,55,7,POINT (77.70535 12.9931)
Brooke Bond,15,7,POINT (77.74869 12.96454)
Brundavana Peenya,17,8,POINT (77.50803 13.02024)
Brundavana School Maralawadi,2,2,POINT (77.52116 12.61763)
Budigere,118,13,POINT (77.74756 13.13511)
Budigere Cross,38,10,POINT (77.75054 13.04603)
Budihal Gate,5,2,POINT (77.35881 13.13108)
Bukkasagara,149,21,POINT (77.61964 12.77881)
Bull Temple,8,3,POINT (77.56778 12.94269)
Buragamarada Palya,2,1,POINT (77.32852 13.06377)
Byadarahalli,6,3,POINT (77.48196 12.9852)
Byagadadenahalli Gate,117,14,POINT (77.70668 12.75232)
Byalahalli,3,2,POINT (77.68134 13.16978)
Byalalu,26,14,POINT (77.3763 12.89185)
Byatarayana Doddy,6,2,POINT (77.5508 12.8163)
Byatarayana Doddy Cross,71,12,POINT (77.54362 12.80368)
Byatarayanapura,31,8,POINT (77.59294 13.06645)
Byatha,5,2,POINT (77.48455 13.19313)
Byatha Cross,3,3,POINT (77.48622 13.19307)
Bychakuppe,27,16,POINT (77.38868 12.97051)
Bychapura,33,5,POINT (77.71285 13.22435)
Bychapura Appartment,3,2,POINT (77.71777 13.22216)
Bylanarasapura,7,3,POINT (77.93476 13.17716)
Bylanjaneya Swamy Temple Gollahalli,44,13,POINT (77.40957 13.1501)
Byra Doddy Circle,8,6,POINT (77.38921 12.79493)
Byramangala,6,4,POINT (77.42433 12.74879)
Byramangala Cross,201,47,POINT (77.39714 12.80222)
Byranayakanahalli,5,2,POINT (77.37682 13.19938)
Byranayakanahalli Railway Station,72,26,POINT (77.38186 13.19402)
Byrasandra,155,33,POINT (77.48547 12.83495)
Byrasandra Aralumallige,24,7,POINT (77.52086 13.24803)
Byrasandra Cross,65,17,POINT (77.66801 12.97556)
Byrasandra Dinne,1,1,POINT (77.84697 13.23955)
Byrasandra New Bus Stand,16,8,POINT (77.59001 12.93549)
Byrashettyhalli,63,24,POINT (77.40339 13.15659)
Byrathi,25,11,POINT (77.65196 13.05602)
Byrathi Bande,87,29,POINT (77.65355 13.07794)
Byrathi Cross,17,9,POINT (77.64822 13.05702)
Byraveshwara Layout,72,24,POINT (77.49493 13.06413)
Byraveshwaranagara,111,22,POINT (77.52338 12.96501)
Byregowdanahalli Colony,3,3,POINT (77.39376 13.06434)
Byregowdanahalli2,76,23,POINT (77.39389 13.05913)
Byregowdanahalli3,33,5,POINT (77.39389 13.05926)
Byrohalli Gate,5,4,POINT (77.44829 12.93433)
C Q A L,5,3,POINT (77.59331 13.01175)
C R P F Kaggalipura Main Road,1,1,POINT (77.53931 12.79562)
C R P F Yelahanka,59,7,POINT (77.57552 13.12278)
CBI,156,25,POINT (77.58565 13.02653)
CFSP Farm,10,5,POINT (77.48946 13.17858)
CK Palya,158,12,POINT (77.60874 12.83337)
CK Palya Cross,142,19,POINT (77.59357 12.84055)
CK Palya Dinne,5,2,POINT (77.60501 12.83831)
CK Thandya,71,31,POINT (77.39759 12.8703)
CK Thandya Cross,17,8,POINT (77.39216 12.86545)
CK Thandya Junction,72,29,POINT (77.40103 12.87609)
CMH Hospital,12,3,POINT (77.64655 12.97849)
CMRIT College,111,21,POINT (77.71389 12.96764)
CMTI,19,6,POINT (77.53641 13.0307)
CPRI,84,35,POINT (77.57489 13.01484)
CPRI Quarters,34,10,POINT (77.57224 13.02217)
CPWD Quarters HSR Layout,24,5,POINT (77.65181 12.914)
CR Police Ground,2,1,POINT (77.5601 12.96258)
CS-5th Block HBR Layout,40,9,POINT (77.6319 13.03545)
CS-80 Feet Road Kalyananagara,52,13,POINT (77.64084 13.02554)
CS-8th Mile,33,7,POINT (77.5075 13.04508)
CS-ARMY Public School ASC Center,12,8,POINT (77.6182 12.96439)
CS-Active Public School Hommadevanahalli,6,3,POINT (77.59439 12.84029)
CS-Anjaneya Temple Beguru,164,23,POINT (77.62465 12.87285)
CS-Army Public School Kamaraja Road,9,4,POINT (77.60941 12.97867)
CS-Ashoka Pillar,3,2,POINT (77.58529 12.94312)
CS-Aspire bee School,3,2,POINT (77.72381 12.87932)
CS-Avasarala Factory Kanakapura Road,6,1,POINT (77.49287 12.782)
CS-BEML Factory,1,1,POINT (77.65928 12.97154)
CS-BMSIT College Campous Yelahanka,13,6,POINT (77.56767 13.13333)
CS-Bagmane Tech Park,10,7,POINT (77.6641 12.97947)
CS-Bagmane Tech Park (Graphite India),3,1,POINT (77.70702 12.97025)
CS-Baiyappanahalli Metro Station,1,1,POINT (77.65496 12.99026)
CS-Bamboo Bazaar,9,7,POINT (77.60368 12.99196)
CS-Banashankari,45,17,POINT (77.57381 12.91761)
CS-Beguru,51,6,POINT (77.6251 12.87351)
CS-Bhartiya City Chokkanahalli,1,1,POINT (77.64251 13.08332)
CS-Bhodhana Hosahalli,226,36,POINT (77.80271 12.97932)
CS-Binny Mill ETA Garden,7,2,POINT (77.56642 12.97325)
CS-Bishop Coton Girls High School,3,2,POINT (77.60157 12.96916)
CS-Budigere,20,7,POINT (77.74753 13.13517)
CS-Channasandra,23,8,POINT (77.76801 12.9833)
CS-Christal House Learning School,9,3,POINT (77.64447 13.05637)
CS-Dayanand Sagar College Kanakapura Road,3,1,POINT (77.51368 12.82509)
CS-Dayananda Sagar College Banashankari,67,5,POINT (77.56573 12.90949)
CS-Depot-06 Gate,11,5,POINT (77.63448 12.98255)
CS-Depot-34,3,2,POINT (77.5855 12.87149)
CS-Dhoopanahalli,24,7,POINT (77.6415 12.96351)
CS-Doddabele,45,8,POINT (77.47745 12.88897)
CS-Doddakannalli,248,78,POINT (77.69523 12.90727)
CS-Electronic City,53,9,POINT (77.67081 12.84829)
CS-Featherlite Factory Hejjala,2,1,POINT (77.4265 12.85352)
CS-Fetherlite Factory Guddadahalli,14,6,POINT (77.54642 12.95018)
CS-GM Palya,3,1,POINT (77.66587 12.97512)
CS-Gnana Bodhini High School,33,10,POINT (77.49488 12.92689)
CS-Gottigere,8,4,POINT (77.58881 12.85618)
CS-HAL ARDC,41,1,POINT (77.68876 12.96235)
CS-HAL Main Gate,44,13,POINT (77.66605 12.95852)
CS-HAL Market/SBI Bank,33,7,POINT (77.66622 12.96036)
CS-HP Petrol Bunk Coles Road,12,3,POINT (77.6118 12.99667)
CS-Head Start School Kommasandra,8,2,POINT (77.73498 12.86047)
CS-Heritage Estate,185,29,POINT (77.57793 13.11811)
CS-ISRO Karthik Nagara,11,6,POINT (77.69507 12.96605)
CS-ISRO Quarters Jalahalli,17,9,POINT (77.53506 13.04416)
CS-ITPL,2,1,POINT (77.74669 12.98597)
CS-Immadihalli,2,1,POINT (77.76338 12.96592)
CS-JINDAL,35,8,POINT (77.25403 13.22022)
CS-Jnanakshi Vidyaniketan School,8,5,POINT (77.51353 12.91204)
CS-KIMS Makkalakoota,92,9,POINT (77.5741 12.9564)
CS-KLE Hostel Goraguntepalya,1,1,POINT (77.5356 13.03121)
CS-KLE Society College,91,29,POINT (77.48136 12.96829)
CS-Kangovi PVT LTD Kukkanahalli,4,3,POINT (77.43828 13.15437)
CS-Kannur Circle,19,5,POINT (77.6547 13.09408)
CS-Kempegowda Institute Nursing Hostel,21,6,POINT (77.52977 12.90391)
CS-Kendriya Vidyalaya ASC Center,6,2,POINT (77.61232 12.96701)
CS-Koli Farm Gate,5,2,POINT (77.58858 12.84146)
CS-Kommaghatta,12,3,POINT (77.46481 12.93025)
CS-Konanakunte Cross,1,1,POINT (77.56351 12.88974)
CS-Kongovi PVT LTD Peenya,92,17,POINT (77.51097 13.02156)
CS-Kudlu Gate,3,1,POINT (77.64008 12.88924)
CS-Makali,56,19,POINT (77.45335 13.06604)
CS-Malya Adithi School,10,3,POINT (77.58288 13.1022)
CS-Marappa Garden,1,1,POINT (77.59987 13.00467)
CS-Maruthi Mandira,2,1,POINT (77.53615 12.96771)
CS-NGV Koramangala,67,20,POINT (77.62338 12.94477)
CS-Nanjappa Circle VRP,1,1,POINT (77.56031 13.06847)
CS-National Games Village Gate,22,5,POINT (77.62029 12.94905)
CS-Oasis School,25,7,POINT (77.66602 13.08918)
CS-PAPAS Trading PVT LTD,94,29,POINT (77.59408 12.89131)
CS-Park Hotel 1MG,11,2,POINT (77.61998 12.97399)
CS-Rajanukunte,14,5,POINT (77.5643 13.17329)
CS-Ramakrishna Ashrama,60,30,POINT (77.56765 12.949)
CS-Ramasandra,14,6,POINT (77.46782 12.94537)
CS-Sapthagiri Vidya Mandir,2,2,POINT (77.70544 12.90739)
CS-Seetharampalya Metro Station,16,7,POINT (77.7089 12.98013)
CS-Shanthinagara Bus Station,48,23,POINT (77.59223 12.95558)
CS-Shanthinikethana Layout,23,6,POINT (77.60325 12.88296)
CS-Sheshadripuram Fortis Hospital,2,1,POINT (77.58115 12.98523)
CS-Sompura Gate,65,28,POINT (77.77194 12.86216)
CS-Sony World 80ft Road Koramangala,64,18,POINT (77.6266 12.93745)
CS-TC Palya,2,1,POINT (77.70461 13.01761)
CS-Thataguni Sai Garden,20,2,POINT (77.51185 12.84329)
CS-Vaiyalikaval Police Station,39,2,POINT (77.57848 13.00189)
CS-Vidyaniketan School Hebbala,68,16,POINT (77.59661 13.04756)
CS-Vidyaranyapura,21,6,POINT (77.56027 13.08396)
CS-Vijayanagara,3,1,POINT (77.53758 12.97179)
CS-Yashwanthapura TTMC,2,1,POINT (77.55704 13.01789)
CSI Hospital,48,7,POINT (77.59938 12.98983)
CV Raman Nagara,49,21,POINT (77.66401 12.98564)
Cable Factory Ittagallapura,35,4,POINT (77.54044 13.17404)
Cadabams,86,27,POINT (77.52866 12.79785)
Cambridge Public School Yalahanka,2,1,POINT (77.58942 13.09417)
Canara Bank Begur,12,2,POINT (77.62516 12.88518)
Canara Bank Hebbala,109,22,POINT (77.58909 13.0357)
Canara Bank Koramangala,3,2,POINT (77.62426 12.93524)
Canara Bank Millers Road,2,1,POINT (77.60169 12.99549)
Canara Bank Rajajinagara 1st Block,100,13,POINT (77.55044 13.00089)
Canara Bank Subramanyanagara,9,2,POINT (77.55996 13.0047)
Canara Bank Tannery Road,57,15,POINT (77.61238 13.00615)
Canara Bank Vidyaranyapura,9,2,POINT (77.55609 13.07171)
Cantonment Railway Station,2,1,POINT (77.59712 12.99384)
Cargo Village,5,4,POINT (77.68231 13.19967)
Carmel Convent Jayanagara,3,2,POINT (77.59724 12.92643)
Carmelram Gate,187,40,POINT (77.70401 12.90352)
Carmelram School Railway Gate,13,2,POINT (77.7059 12.9095)
Cauvery Bhavana,52,25,POINT (77.58157 12.97372)
Cauvery Nagara,1,1,POINT (77.53073 12.99965)
Center for Learning School Campus Magadi Road,132,33,POINT (77.37505 12.98016)
Central,48,14,POINT (77.57204 12.9898)
Central Silk Board,214,62,POINT (77.62177 12.91689)
Chaithanya Samarpan Apartment,87,18,POINT (77.76206 13.0207)
Chakkalatti,180,40,POINT (77.66823 13.12255)
Challahalli,71,12,POINT (77.50635 13.21742)
Challahalli Colony,2,1,POINT (77.50502 13.21664)
Challeghatta,1,1,POINT (77.45333 12.89663)
Chamarajapet,81,21,POINT (77.56744 12.95627)
Chambenahalli,191,59,POINT (77.7617 12.8793)
Chamundeshwari Layout,166,26,POINT (77.55966 13.06488)
Chamundi Nagara,32,6,POINT (77.42038 13.01471)
Chandapura,57,16,POINT (77.70512 12.80181)
Chandapura KEB,102,38,POINT (77.70605 12.79869)
Chandra Layout,16,7,POINT (77.52671 12.95925)
Chandra Layout 1st Stage,16,5,POINT (77.52244 12.95448)
Chandra Layout Circle,28,7,POINT (77.52669 12.95817)
Chandra Public School,29,4,POINT (77.52954 12.96029)
Chandrappa Circle,7,5,POINT (77.36962 12.91049)
Chandrappanagara,11,5,POINT (77.60255 12.9413)
Chandurayanahalli,11,3,POINT (77.19669 12.97286)
Channa Marayyanapalya,116,28,POINT (77.36478 12.98134)
Channa Nayakanapalya,10,3,POINT (77.48518 13.04428)
Channadasipalya,12,5,POINT (77.4147 12.97091)
Channammanakere Achukattu,111,25,POINT (77.5565 12.9283)
Channammanapalya,1,1,POINT (77.46399 12.7628)
Channappa Circle,3,1,POINT (77.37336 12.91021)
Channapura Gate,5,4,POINT (77.86669 13.10304)
Channarayapatna,1,1,POINT (77.79645 13.24714)
Channarayapatna School,6,3,POINT (77.79693 13.24392)
Channasandra,211,51,POINT (77.52134 12.90289)
Channasandra Colony,22,8,POINT (77.51628 12.90335)
Channenahalli,42,14,POINT (77.43037 12.97791)
Channenahalli Arch,48,12,POINT (77.43545 12.97987)
Chapparadakallu,1,1,POINT (77.62543 13.27935)
Charls School Toll Gate,264,68,POINT (77.62099 13.00616)
Chatra (Yeliyuru Gate),93,21,POINT (77.75845 13.27744)
Cheemachanahalli,119,29,POINT (77.7861 13.21823)
Cheemandahalli,131,11,POINT (77.81179 13.05051)
Cheemandahalli Cross,19,3,POINT (77.81356 13.0449)
Cheemasandra,174,70,POINT (77.86867 13.21365)
Cheemasandra Gate,123,49,POINT (77.74008 13.03903)
Chennathimmana Gollahalli Gate,1,1,POINT (77.89838 13.14104)
Chikka Adugodi,1,1,POINT (77.60943 12.92899)
Chikka Banavara,7,5,POINT (77.50259 13.08053)
Chikka Basti,7,2,POINT (77.4751 12.94453)
Chikka Basti Masjid,11,5,POINT (77.47403 12.94178)
Chikka Belavagala Gate,13,4,POINT (77.42683 13.19833)
Chikka Bellanduru,3,1,POINT (77.71435 12.91227)
Chikka Bettahalli,19,5,POINT (77.55629 13.08945)
Chikka Bommasandra Cross,7,4,POINT (77.58241 13.09356)
Chikka Byalakere,98,28,POINT (77.52161 13.11965)
Chikka Dasarahalli,157,18,POINT (77.78471 12.89159)
Chikka Dasarahalli Cross,81,23,POINT (77.78783 12.88192)
Chikka Dunnasandra,2,2,POINT (77.76192 12.86297)
Chikka Gollarahatti,111,31,POINT (77.46559 12.99147)
Chikka Gubbi,93,44,POINT (77.6663 13.08048)
Chikka Gubbi Cross,82,25,POINT (77.65417 13.08425)
Chikka Hagade,4,3,POINT (77.69927 12.7337)
Chikka Hagade Gate,76,19,POINT (77.70647 12.73157)
Chikka Haralagere,34,6,POINT (77.82497 13.20046)
Chikka Hosahalli,3,3,POINT (77.64521 12.70587)
Chikka Indluwadi,1,1,POINT (77.64062 12.71624)
Chikka Kammanahalli,5,2,POINT (77.59993 12.84966)
Chikka Kodigehalli,2,1,POINT (77.46491 12.97204)
Chikka Kukkanahalli,3,2,POINT (77.44899 13.15753)
Chikka Madhure,39,11,POINT (77.43977 13.2065)
Chikka Mariyappanapalya,23,11,POINT (77.40042 12.93991)
Chikka Maskal,28,7,POINT (77.33055 12.91971)
Chikka Nagamangala Gate,5,2,POINT (77.7036 12.85921)
Chikka Nallala,97,22,POINT (77.89533 13.09694)
Chikka Nekkundi,27,14,POINT (77.76583 12.92985)
Chikka Puttaiahnapalya,31,9,POINT (77.3191 13.09713)
Chikka Sanne Gate,4,3,POINT (77.69109 13.23031)
Chikka Tanda Manchenahalli Cross,3,3,POINT (77.35004 13.03781)
Chikka Tattamangala Gate,56,19,POINT (77.76282 13.28017)
Chikka Thataguni,23,12,POINT (77.51416 12.84542)
Chikka Thirupathi,98,15,POINT (77.867 12.89532)
Chikka Thogurupalya,26,4,POINT (77.28314 12.95628)
Chikka Tumkur Cross,1,1,POINT (77.53883 13.25273)
Chikka Tumkur Lake,62,5,POINT (77.51903 13.27744)
Chikka Veeraiahnapalya,52,21,POINT (77.40047 12.94527)
Chikkaballapura,24,7,POINT (77.73199 13.43768)
Chikkabanavara Railway Station,40,23,POINT (77.50453 13.07523)
Chikkabidarakallu,17,7,POINT (77.48778 13.05196)
Chikkahullur,28,13,POINT (77.82485 13.1051)
Chikkajala,16,10,POINT (77.63369 13.17273)
Chikkallasandra,42,13,POINT (77.55198 12.91507)
Chikkallasandra Aralimara,81,23,POINT (77.55235 12.91165)
Chikkallasandra Bank Colony,66,20,POINT (77.54927 12.90914)
Chikkamaranahalli,31,12,POINT (77.32314 13.09053)
Chikkamaranahalli Colony,33,17,POINT (77.32266 13.09665)
Chikkammanapalya,4,1,POINT (77.423 12.95033)
Chikkanahalli,270,69,POINT (77.35521 12.8816)
Chikkanahalli Bande,31,11,POINT (77.39042 13.17933)
Chikkanahalli Gate,7,2,POINT (77.90421 13.12559)
Chikkanahalli School,3,2,POINT (77.3865 13.18269)
Chikkanayakanahalli,126,33,POINT (77.69445 12.89231)
Chikkanayakanahalli Dinne,1,1,POINT (77.69706 12.88383)
Chikkegowdanapalya,53,13,POINT (77.51476 12.87872)
Chikkellur Cross,74,29,POINT (77.42171 12.89183)
Chinnaiahnapalya,6,1,POINT (77.65589 12.72257)
Chinnaswamy Stadium,11,5,POINT (77.59885 12.97742)
Chinnayyanapalya Silk Farm,35,6,POINT (77.52338 12.85375)
Chinthala Madivala Cross,70,6,POINT (77.71233 12.85459)
Chitrakala parishath new Campus Srinivasapura,36,17,POINT (77.50754 12.90329)
Chokkahalli Gate,4,3,POINT (77.83227 13.11222)
Chokkanahali Government School,3,3,POINT (77.69131 13.11131)
Chokkanahalli,53,14,POINT (77.68754 13.11358)
Chokkanahalli Gate,87,30,POINT (77.63487 13.08466)
Chokkasandra Cross,7,4,POINT (77.73409 12.87348)
Chokkasandra Gate,1,1,POINT (77.88681 13.1832)
Cholanayakanahalli,50,10,POINT (77.35958 12.96049)
Cholappanahalli Gate,60,21,POINT (77.83919 13.11897)
Choodasandra Circle,1,1,POINT (77.67299 12.88853)
Choudappa Layout,7,4,POINT (77.5281 13.10983)
Chowdanahalli,26,2,POINT (77.62861 13.21432)
Chowdappanahalli,173,31,POINT (77.75372 13.14869)
Chowdareddy Circle,68,31,POINT (77.69949 12.71119)
Chowdeshwari Nagara Thataguni,12,3,POINT (77.51893 12.84993)
Chowdeshwarinagara,87,31,POINT (77.39939 12.99759)
Chowdeshwarinagara JP Park,63,12,POINT (77.55432 13.03284)
Chowdeshwarinagara Thataguni,9,2,POINT (77.5188 12.84985)
Christ International School Cross,14,3,POINT (77.89049 12.88587)
Christ School,16,9,POINT (77.51192 12.79915)
Christal House Learning School,5,3,POINT (77.65168 13.0943)
Chudahalli,20,3,POINT (77.48943 12.78225)
Chunchaghatta,46,8,POINT (77.57487 12.88558)
Chunchanakuppe,30,6,POINT (77.3863 12.91041)
Cipla Avalahalli,44,11,POINT (77.73148 13.03243)
City Civil Court,58,8,POINT (77.58243 12.97343)
Clarence School,9,5,POINT (77.61666 13.00309)
Coca Cola Byramangala,2,1,POINT (77.40411 12.78103)
Coffee Day Hope Farm,18,8,POINT (77.75162 12.97998)
Cohera,92,16,POINT (77.74122 13.17322)
Coles Park,166,49,POINT (77.60928 12.99308)
Coles Road,13,6,POINT (77.61204 12.99661)
College Cross Byadarahalli,42,10,POINT (77.47952 12.98569)
Commando Hospital,52,18,POINT (77.62641 12.96364)
Concord Apartment Electronic City,10,3,POINT (77.65172 12.84061)
Corporation,59,16,POINT (77.58822 12.96701)
Country Club Bagaluru,24,13,POINT (77.63937 13.12348)
Crown Plaza,38,9,POINT (77.66032 12.851)
Crystal Apartment Sarjapura Road,36,16,POINT (77.76725 12.86759)
Cubbon Park Metro Station,33,4,POINT (77.59722 12.98083)
Cunningham Road,5,1,POINT (77.59427 12.98787)
C‌ Q A L,31,4,POINT (77.59326 13.01178)
D Cross Doddaballapura,7,4,POINT (77.54577 13.30655)
D Group Employees Layout,64,21,POINT (77.69091 13.09134)
D Hosahalli,3,2,POINT (77.83242 12.96831)
D Shettihalli Gate,44,11,POINT (77.86845 13.15056)
D Souza Circle,10,4,POINT (77.61106 12.96755)
DEPOT-19 Gate,35,1,POINT (77.67192 12.84691)
DHFL,74,15,POINT (77.69561 13.19963)
DRDO Quarters,1,1,POINT (77.66133 12.98546)
DUO Heights Layout,48,22,POINT (77.61468 12.89486)
Dabaspete,2,2,POINT (77.24144 13.2277)
Dalai Lama College,32,3,POINT (77.42456 12.85049)
Dalmia Circle,133,20,POINT (77.595 12.90697)
Dandupalya,1,1,POINT (77.81115 13.07461)
Dandupalya Cross,62,22,POINT (77.81145 13.07636)
Dandupalya Gate,7,3,POINT (77.80804 13.07689)
Dargha,11,4,POINT (77.77446 13.28746)
Dasanapura,4,3,POINT (77.43636 13.07542)
Dasappanapalya,6,2,POINT (77.50591 13.07935)
Dasarahalli,97,29,POINT (77.83611 13.09998)
Dasarahalli Hebbala,7,5,POINT (77.61148 13.05631)
Dasarahalli Kere,5,3,POINT (77.54179 12.98595)
Dasarahalli Road Junction,82,32,POINT (77.5941 13.05583)
Dasegowdarapalya,57,7,POINT (77.39426 13.02347)
Dasenahalli Cross,3,3,POINT (77.46523 13.14087)
Dattatreya Peeta Doddagubbi,2,1,POINT (77.66465 13.06739)
Dattatreya Temple Malleshwara,27,14,POINT (77.57462 12.99895)
Dayananda Sagar College,120,31,POINT (77.5654 12.90949)
Dayananda Sagar Vidya Samste,9,4,POINT (77.51377 12.82479)
Deccan,102,27,POINT (77.62741 12.90247)
Deepa Complex,101,30,POINT (77.50483 12.96659)
Deepak Factory,50,11,POINT (77.50159 13.04704)
Deepak Nursing Home,9,4,POINT (77.57699 12.92518)
Deepanjalinagara,5,3,POINT (77.53724 12.9514)
Dell,4,2,POINT (77.64044 12.95275)
Dell Domluru,10,3,POINT (77.64065 12.95291)
Depot-02 Shanthinagara,62,13,POINT (77.59488 12.95442)
Depot-03 Shanthinagara,4,2,POINT (77.596 12.95532)
Depot-04 Jayanagara,17,6,POINT (77.59346 12.92489)
Depot-06 Gate,358,112,POINT (77.63503 12.98262)
Depot-06 Indiranagara,2,1,POINT (77.63392 12.98226)
Depot-07 Subhashnagara,70,5,POINT (77.57186 12.97901)
Depot-08 Yashawanthapura,82,25,POINT (77.55551 13.01777)
Depot-09 Peenya,62,14,POINT (77.50022 13.02039)
Depot-10 Gate,70,15,POINT (77.63049 13.0255)
Depot-10 Hennuru,21,3,POINT (77.63233 13.02568)
Depot-11 Puttenahalli,3,1,POINT (77.57947 13.11061)
Depot-12 Gate,1,1,POINT (77.47084 12.90471)
Depot-12 Kengeri,16,2,POINT (77.4727 12.90424)
Depot-13 Kathriguppe,1,1,POINT (77.55434 12.92493)
Depot-14 Gate,1,1,POINT (77.5937 13.02844)
Depot-14 RT Nagara,15,3,POINT (77.59328 13.02868)
Depot-15 Koramangala,13,3,POINT (77.62487 12.9414)
Depot-16 Deepanajalinagara,42,13,POINT (77.53703 12.95136)
Depot-17 Chandra Layout,148,35,POINT (77.52733 12.95897)
Depot-18 White Field,17,3,POINT (77.72596 12.97686)
Depot-19 Electronic City,107,31,POINT (77.67229 12.8474)
Depot-20 Banashankari,6,3,POINT (77.57086 12.91871)
Depot-21 BEML Layout,6,3,POINT (77.52042 12.90673)
Depot-22 Peenya,7,4,POINT (77.50193 13.01975)
Depot-23 Kalyana Nagara,3,1,POINT (77.63895 13.02655)
Depot-24 Gate,173,68,POINT (77.6825 13.00341)
Depot-24 ITI Layout,24,8,POINT (77.68359 13.00163)
Depot-25 Gate,47,11,POINT (77.64255 12.91936)
Depot-25 Gate (Central Silk Board),7,4,POINT (77.64294 12.91952)
Depot-25 HSR Layout,21,8,POINT (77.64457 12.91986)
Depot-26 Yeshawanthapura,1,1,POINT (77.55537 13.0186)
Depot-27 Gate,61,12,POINT (77.63445 12.78003)
Depot-28 Hebbala,2,2,POINT (77.59335 13.04355)
Depot-29 KR Puram,107,20,POINT (77.69175 13.00444)
Depot-30 Puttenahalli,11,6,POINT (77.57762 13.11009)
Depot-31 Gate,104,32,POINT (77.52146 12.99306)
Depot-31 Summanahalli,4,3,POINT (77.52221 12.99285)
Depot-32 Suryacity,5,4,POINT (77.70677 12.79047)
Depot-33 Poornapragna layout,4,2,POINT (77.53606 12.90974)
Depot-34 Gate,80,21,POINT (77.58567 12.87023)
Depot-34 Kottanur,13,3,POINT (77.58616 12.87168)
Depot-35 Gate,19,5,POINT (77.44268 12.9726)
Depot-35 Kannalli,1,1,POINT (77.44263 12.97253)
Depot-36 Bidadi,2,1,POINT (77.41428 12.76888)
Depot-36 Gate,55,16,POINT (77.41397 12.7684)
Depot-37 Kengeri,2,2,POINT (77.48793 12.91344)
Depot-38 Chikkanagamangala,1,1,POINT (77.69176 12.85019)
Depot-38 Gate,122,32,POINT (77.69251 12.84902)
Depot-39 Gate,19,1,POINT (77.78178 13.06905)
Depot-39 Hoskote,83,12,POINT (77.78173 13.06832)
Depot-40 Dasanapura,16,7,POINT (77.44491 13.07402)
Depot-40 Gate,73,7,POINT (77.44766 13.06872)
Depot-41 Gate,18,6,POINT (77.74239 12.9213)
