name,trip_count,route_count,id,geometry
(Theneyuru)I Basapura Gate,19,1,3qw,POINT (77.83624 13.22602)
10th Cross Magadi Road,65,14,1i2,POINT (77.55706 12.97574)
10th Cross Magadi Road,70,22,x9,POINT (77.55562 12.97556)
10th Stone NICE Road,1,1,2al,POINT (77.49865 12.87242)
11th Block Anjanapura,5,1,2ee,POINT (77.57265 12.85224)
12th Block Nagarabhavi,15,5,1p3,POINT (77.51398 12.96018)
12th Block Nagarabhavi,17,8,2z0,POINT (77.51351 12.96076)
14th Main HSR Layout,82,11,250,POINT (77.63472 12.91637)
14th Main HSR Layout,103,13,2b0,POINT (77.63521 12.91619)
18th Main Jayanagara,2,2,3b6,POINT (77.58964 12.92343)
18th Main Jayanagara,2,2,5x,POINT (77.58898 12.92328)
19th Main 13th Cross HSR Layout,9,3,42o,POINT (77.65175 12.91582)
1st Block Rajajinagara,55,6,8m,POINT (77.54887 13.00515)
1st Block Rajajinagara,9,6,u2,POINT (77.54909 13.0047)
1st Block Vidyaranyapura,11,4,1cj,POINT (77.5555 13.07021)
1st Block Vidyaranyapura,21,9,1xh,POINT (77.55539 13.07023)
1st Block Vishweshwaraiah Layout,9,1,1ul,POINT (77.4789 12.93752)
1st Block Vishweshwaraiah Layout,1,1,2dy,POINT (77.47876 12.93747)
1st Cross Magadi Road,67,20,3n4,POINT (77.563 12.97569)
1st Cross Magadi Road,66,14,lw,POINT (77.5628 12.97569)
1st Main Kodichikkanahalli,1,1,17h,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),13,3,1ll,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),13,3,ou,POINT (77.52017 12.95286)
2nd Stage 9th Block Nagarabhavi,1,1,1k7,POINT (77.51027 12.96864)
2nd Stage H B R Layout (1st Main),5,1,3j5,POINT (77.61553 13.02881)
2nd Stage HBR Layout (2nd Cross),5,1,2m3,POINT (77.61209 13.03165)
2nd Stage Kanteeravanagara,9,2,2g5,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,3,2,2sa,POINT (77.54142 13.07306)
2nd stage Kuvempunagara,11,3,418,POINT (77.54132 13.07313)
3rd Block Jayanagara,64,17,1re,POINT (77.58392 12.9318)
3rd Block Jayanagara,38,11,3x4,POINT (77.58396 12.93349)
3rd Block Jn Banashankari 6th Phase,1,1,d7,POINT (77.51657 12.87821)
3rd Block Vidyaranyapura,9,2,1cl,POINT (77.55647 13.07237)
3rd Block Vidyaranyapura,20,8,39x,POINT (77.55637 13.07223)
3rd Main Road Annapoorneshwarinagara,1,1,32p,POINT (77.50446 12.97811)
3rd Stage Basaveshwaranagara,1,1,1jj,POINT (77.54249 12.98912)
4th Block HBR Layout,1,1,23b,POINT (77.63268 13.03437)
4th T Block Jayanagara,2,2,294,POINT (77.59353 12.92307)
4th T Block Jayanagara,2,2,3ha,POINT (77.59345 12.92308)
5th Block HBR Layout,1,1,1iv,POINT (77.6315 13.03582)
5th Block Jayanagara,11,5,2ci,POINT (77.58356 12.91722)
5th Block Jayanagara,11,5,kq,POINT (77.58368 12.91732)
5th Cross Magadi Road,70,22,2zn,POINT (77.56081 12.97567)
5th Cross Magadi Road,65,14,3cz,POINT (77.56071 12.97578)
5th Phase Yelahanka New Town,42,10,2rn,POINT (77.57251 13.10575)
6th Block Rajajinagara,70,11,171,POINT (77.55359 12.97944)
6th Block Rajajinagara,74,8,4av,POINT (77.55377 12.97953)
7th Cross Wilson Garden,69,15,1je,POINT (77.59436 12.94699)
7th Cross Wilson Garden,184,38,34j,POINT (77.59465 12.94684)
80 feet Road Kalyananagara,45,11,1xx,POINT (77.64042 13.02546)
80 feet Road Kalyananagara,31,6,2cl,POINT (77.6406 13.02564)
80ft Road Banasawadi,1,1,15d,POINT (77.6429 13.01538)
80ft Road HRBR Layout,1,1,cx,POINT (77.64328 13.02035)
80ft Road MS Ramaiah College,1,1,352,POINT (77.57571 13.02752)
8th Main 3rd Cross  Junction,1,1,45f,POINT (77.63723 13.02254)
8th Main Kamalanagara,4,4,24d,POINT (77.53839 12.99163)
8th Main Kamalanagara,34,4,j8,POINT (77.53856 12.99178)
8th Mile Dasarahalli,166,31,1nq,POINT (77.50795 13.04541)
8th Mile Dasarahalli,154,39,1p8,POINT (77.50748 13.0451)
8th Mile Dasarahalli,108,35,2ce,POINT (77.50755 13.04622)
8th Mile Dasarahalli,59,4,39e,POINT (77.50553 13.04547)
8th Mile Dasarahalli,44,4,3co,POINT (77.50547 13.04544)
8th Mile Dasarahalli,1,1,3ht,POINT (77.50753 13.04571)
9th Block Jayanagara,1,1,15x,POINT (77.5928 12.91964)
9th Block Jayanagara (40th Cross),3,2,8t,POINT (77.59247 12.91969)
A G Export Garments Nelamangala,10,5,2fa,POINT (77.39237 13.12046)
A G Export Garments Nelamangala,3,3,qu,POINT (77.39242 13.12048)
A P J Abdul Kalam Statue,3,2,2on,POINT (77.65418 12.97977)
AECS Dental College,8,2,30a,POINT (77.59832 12.86541)
AECS Dental College,3,3,37m,POINT (77.59831 12.86534)
AECS Layout Cross,104,12,1x,POINT (77.71827 12.96511)
AECS Layout Cross,123,14,p7,POINT (77.71832 12.96495)
AGS Layout,7,2,1f8,POINT (77.47921 12.95163)
AGS Layout,4,1,23d,POINT (77.47919 12.95173)
AGS Layout Arehalli,10,4,26z,POINT (77.53704 12.91252)
AGS Layout Arehalli,6,1,4ag,POINT (77.53703 12.91244)
AGS Layout Cross,8,3,25e,POINT (77.54088 12.91347)
AGS Layout Cross,7,2,2e6,POINT (77.54088 12.91353)
AIR FORCE Quarters,6,3,wc,POINT (77.52139 13.05895)
AL Ameen Residential School,8,4,2rr,POINT (77.80832 13.06983)
AL-Agro Factory,1,1,2fz,POINT (77.88059 12.98697)
AMC College,30,8,2d5,POINT (77.58759 12.82933)
AMC College,10,3,4a9,POINT (77.5878 12.83007)
APCO Factory,3,1,1mr,POINT (77.47044 12.76195)
APMC Yard,2,2,1by,POINT (77.44396 13.10494)
APMC Yard,10,5,1v2,POINT (77.44388 13.10488)
APS College,62,22,1hp,POINT (77.49966 12.78276)
APS College,27,8,2m2,POINT (77.49952 12.78266)
ARMY Public School ASC Center,2,2,v0,POINT (77.61808 12.96467)
ASC Centre,2,2,1xy,POINT (77.61901 12.96224)
ASC Centre,13,4,4ar,POINT (77.61906 12.96245)
Abbaiah Circle Sarjapura,7,3,ri,POINT (77.79411 12.85976)
Abbaiah Layout,1,1,47c,POINT (77.68082 12.97933)
Abbigere,18,6,28n,POINT (77.52589 13.07692)
Abbigere,17,2,3jx,POINT (77.52587 13.07696)
Abbigere Cross,34,5,163,POINT (77.52976 13.07069)
Abbigere Cross,14,5,ng,POINT (77.52974 13.07068)
Abbigere Dinne,12,4,2bp,POINT (77.52801 13.07099)
Abbigere Dinne,39,6,55,POINT (77.52803 13.07106)
Abbigere Gate,29,4,2w6,POINT (77.52353 13.07248)
Abbigere Gate,10,2,349,POINT (77.52355 13.07243)
Acharya College,33,2,1u9,POINT (77.48822 13.00234)
Acharya College,51,2,28h,POINT (77.48823 13.00238)
Acharya Institute of Technology,9,3,157,POINT (77.48411 13.08353)
Acharya Institute of Technology,10,2,zp,POINT (77.48416 13.08351)
Achyuthanagara Gate,9,3,1wa,POINT (77.48656 13.08423)
Achyuthanagara Gate,7,1,2j2,POINT (77.48655 13.08418)
Active Public School Hommadevanahalli,1,1,1ns,POINT (77.59467 12.8402)
Adakamaranahalli (Magadi Road),2,1,2yt,POINT (77.31054 12.94713)
Adakamaranahalli Cross (Magadi Road),9,6,35v,POINT (77.30922 12.95438)
Adakimaranahalli,135,31,1zk,POINT (77.44482 13.07028)
Adakimaranahalli,1,1,2o6,POINT (77.4433 13.06486)
Adakimaranahalli,1,1,7c,POINT (77.44532 13.06989)
Adakimaranahalli,99,12,o7,POINT (77.4449 13.07065)
Adarshanagara,2,2,1fw,POINT (77.42378 13.07621)
Adarshanagara,1,1,2ym,POINT (77.42374 13.07619)
Addiganahalli,4,3,123,POINT (77.56959 13.17295)
Addiganahalli,8,4,15r,POINT (77.56943 13.17297)
Addiganahalli Extension 1,2,1,2df,POINT (77.57123 13.17288)
Adigondanahalli,2,1,1mu,POINT (77.75116 12.81457)
Aditya Bakery,1,1,14v,POINT (77.51076 12.90351)
Adugodi,29,5,1ut,POINT (77.60748 12.94397)
Adugodi,21,5,2vi,POINT (77.6077 12.94387)
Adugodi,6,2,av,POINT (77.60761 12.94384)
Adugodi Police Station,22,6,194,POINT (77.6095 12.93985)
Adugodi Police Station,35,7,3ti,POINT (77.60976 12.93897)
Aduru,1,1,3fl,POINT (77.70576 13.05552)
Aerospace Bagalur,1,1,25a,POINT (77.73058 13.17277)
Agalakote,4,1,12c,POINT (77.73612 13.21292)
Agalakote,1,1,1ve,POINT (77.73615 13.21287)
Agara,1,1,1x1,POINT (77.48713 12.84479)
Agara,6,3,28q,POINT (77.48709 12.84477)
Agara,2,1,2pc,POINT (77.4863 12.8429)
Agara Cross,46,16,1rq,POINT (77.52207 12.84899)
Agara Cross,100,34,el,POINT (77.52219 12.84915)
Agara Junction,85,12,1fs,POINT (77.65028 12.92452)
Agara Junction,107,15,1wj,POINT (77.65073 12.92433)
Agara Junction,63,16,3n9,POINT (77.64998 12.92468)
Agara Junction,25,9,6d,POINT (77.64937 12.92464)
Agrahara Dasarahalli,74,12,2a2,POINT (77.54293 12.97853)
Agrahara Dasarahalli,93,28,n1,POINT (77.54121 12.97874)
Agrahara Layout,2,1,1jr,POINT (77.62671 13.09838)
Agrahara Layout,9,6,2ip,POINT (77.62683 13.09837)
Agraharapalya Gate,2,1,48f,POINT (77.45348 13.13075)
Ainahalli,1,1,3lo,POINT (77.38764 13.25852)
Airport Trumpet,20,7,149,POINT (77.6582 13.19905)
Airport Trumpet,30,9,28d,POINT (77.65792 13.19908)
Akkithimmanahalli,5,1,1sh,POINT (77.59674 12.96216)
Akkithimmanahalli 1,7,2,12v,POINT (77.59649 12.96221)
Akshayanagara,1,1,1x6,POINT (77.68354 13.02068)
Akshayanagara New Town,6,1,2jg,POINT (77.61101 12.87657)
Aladamara Laggere,41,7,yj,POINT (77.52099 13.01324)
Aladamara Papareddypalya,28,7,126,POINT (77.50941 12.97505)
Aladamara Papareddypalya,24,5,wg,POINT (77.50948 12.97495)
Alambadi,1,1,2mz,POINT (77.88659 12.89273)
Alisda,45,10,1lv,POINT (77.54112 13.03404)
Alisda,46,6,306,POINT (77.54098 13.03392)
Allalasandra,5,3,12l,POINT (77.58864 13.08819)
Allalasandra,3,1,1lt,POINT (77.58868 13.08818)
Allalasandra Gate,45,15,30f,POINT (77.59386 13.08448)
Allalasandra Gate,45,16,39y,POINT (77.59375 13.08664)
Allalasandra Gate,47,21,8r,POINT (77.59557 13.08737)
Allalasandra Gate,42,13,93,POINT (77.59386 13.08686)
Allalasandra Gate,16,6,mm,POINT (77.59437 13.08534)
Alpha College Chikka Gubbi,1,1,13e,POINT (77.66202 13.077)
Alpha College Chikka Gubbi,8,4,4al,POINT (77.662 13.07702)
Aluru,7,1,2ca,POINT (77.46561 13.0849)
Aluru,8,2,2do,POINT (77.46551 13.08495)
Aluru Cross,10,2,3jr,POINT (77.47479 13.0824)
Aluru Cross,1,1,3vw,POINT (77.47477 13.08236)
Amarajyothi Badavane,1,1,yf,POINT (77.62932 13.05525)
Ambalagere,1,1,2o8,POINT (77.38658 13.24327)
Ambedkar Institute of Technology,38,8,2ii,POINT (77.50502 12.96319)
Ambedkar Institute of Technology,34,7,2pn,POINT (77.50515 12.96338)
Ambedkar Nagara,58,15,42s,POINT (77.71273 12.89929)
Ambedkar Nagara,16,6,ah,POINT (77.71286 12.89914)
Amma Ashrama Cross,5,2,1h4,POINT (77.48867 12.94958)
Amma Ashrama Cross,33,4,n0,POINT (77.48882 12.94936)
Amogha Layout,8,2,254,POINT (77.71818 13.07507)
Amogha Layout,5,2,ph,POINT (77.71806 13.07509)
Amrutha Engineering College,10,1,168,POINT (77.6752 12.8968)
Amrutha Engineering College,11,2,3kx,POINT (77.67517 12.89689)
Amruthahalli,6,1,11b,POINT (77.60081 13.06576)
Amruthahalli,1,1,19w,POINT (77.60076 13.06574)
Amruthanagara,10,2,15w,POINT (77.54995 12.83943)
Amruthanagara,8,1,f7,POINT (77.54993 12.83939)
Amruthanagara Canara Bank,8,2,1r0,POINT (77.59974 13.05506)
Anagalipura,5,3,2z,POINT (77.68241 13.06838)
Anagalipura Gate,1,1,1u1,POINT (77.67888 13.07303)
Anagalipura Gate,9,3,311,POINT (77.67885 13.07306)
Ananda Ashrama (BGT Rd),22,8,1nn,POINT (77.60037 12.92644)
Ananda Ashrama (BGT Rd),81,15,3wc,POINT (77.60062 12.9275)
Ananda Rao Circle,43,7,1j7,POINT (77.57503 12.98074)
Ananda Rao Circle,4,2,37e,POINT (77.57694 12.98117)
Ananda Rao Circle,291,64,80,POINT (77.57466 12.98115)
Anandapura,1,1,35c,POINT (77.6927 13.0241)
Ananthapura Gate,15,9,2dw,POINT (77.57901 13.1146)
Ananthapura Gate,6,3,qp,POINT (77.57907 13.11478)
Anche Muskuru,14,5,1sv,POINT (77.8678 12.90452)
Anche Muskuru,11,5,2aj,POINT (77.86795 12.9043)
Anchepalya,48,16,3rz,POINT (77.45795 12.89261)
Anchepalya,148,38,3sh,POINT (77.47936 13.05497)
Anchepalya,19,8,eu,POINT (77.45753 12.8926)
Anchepalya,104,15,kf,POINT (77.47983 13.05529)
Andhrahalli,51,2,2f4,POINT (77.48484 13.00805)
Andhrahalli,33,2,3vi,POINT (77.48484 13.00802)
Andhrahalli Gate,8,4,2wi,POINT (77.74525 13.11542)
Andhrahalli Gate,2,1,3cd,POINT (77.74529 13.11545)
Andhrahalli Govt School,51,2,10z,POINT (77.48295 13.00956)
Andhrahalli Govt School,33,2,3pa,POINT (77.48294 13.00952)
Ane Hosahalli Gate,2,1,2sz,POINT (77.51387 12.62071)
Anekal,75,11,lc,POINT (77.69641 12.70939)
Anekal Circle,38,6,2dn,POINT (77.70018 12.71677)
Anekal Circle,33,7,pe,POINT (77.70009 12.71674)
Anekal Road Junction,4,2,2ep,POINT (77.77016 12.76837)
Anekal Road Junction,4,2,43z,POINT (77.77016 12.76853)
Anepalya,12,3,2vw,POINT (77.60518 12.95303)
Anepalya,17,5,qw,POINT (77.60532 12.95289)
Anjananagara,63,8,2z6,POINT (77.48817 12.98617)
Anjananagara,93,23,315,POINT (77.48847 12.98614)
Anjanapura,34,4,1th,POINT (77.56381 12.86196)
Anjanapura,11,5,21v,POINT (77.56393 12.86196)
Anjanapura,49,8,2cm,POINT (77.56385 12.862)
Anjanapura 10 Block,29,1,2p5,POINT (77.569 12.85601)
Anjanapura 10th Block,54,8,1s1,POINT (77.56907 12.85593)
Anjanapura 1st Block,2,1,46,POINT (77.54817 12.86001)
Anjanapura 2nd Block,6,2,45z,POINT (77.55245 12.86573)
Anjanapura 2nd Block Cross (LBSN),8,1,25i,POINT (77.55945 12.86053)
Anjanapura 2nd Block Cross (LBSN),10,2,3g,POINT (77.55939 12.86054)
Anjanapura Cross,10,2,1w6,POINT (77.56091 12.86183)
Anjanapura Cross,2,1,3fa,POINT (77.56083 12.86183)
Anjaneya Temple Anekal,1,1,16z,POINT (77.70025 12.71729)
Anjaneya Temple Bidaraguppe,11,6,2t0,POINT (77.78276 12.80131)
Anjaneya Temple Bidaraguppe,11,4,2uv,POINT (77.78283 12.80086)
Anjaneya Temple Devanahalli,4,1,3e2,POINT (77.71302 13.2351)
Anjaneya Temple Devanahalli,1,1,3ug,POINT (77.713 13.23506)
Anjaneya Temple Madhure,6,3,5a,POINT (77.44486 13.20998)
Anjaneya Temple Nelamangala,99,12,2o4,POINT (77.39777 13.09737)
Anjaneya Temple Nelamangala,124,22,2ta,POINT (77.39774 13.09723)
Anjaneya Temple Thigalarapalya,51,2,1e6,POINT (77.48347 13.01372)
Anjaneya Temple Thigalarapalya,33,2,37p,POINT (77.48343 13.01371)
Ankanahalli,4,1,2j9,POINT (77.79838 13.20433)
Ankegowdana Doddy,3,1,11n,POINT (77.51733 12.70677)
Annahalli,2,1,3qk,POINT (77.38452 12.69958)
Annapoorneshwari nagara Cross,11,2,t7,POINT (77.49655 12.96998)
Annapoorneshwarinagara,2,2,11w,POINT (77.50667 12.98002)
Annapoorneshwarinagara Cross,9,3,2qg,POINT (77.49658 12.97002)
Annapurneshwari Badavane,1,1,143,POINT (77.50802 13.13874)
Annasandrapalya Cross,2,2,74,POINT (77.66622 12.96039)
Anugondanahalli,3,1,19k,POINT (77.81546 12.95716)
Anugondanahalli Cross,25,12,3ml,POINT (77.81599 12.95895)
Anugondanahalli Cross,15,6,wd,POINT (77.81583 12.95894)
Anupahalli,1,1,3k6,POINT (77.85612 13.21548)
Aparel Park,4,2,1xk,POINT (77.55205 13.27266)
Aparel Park,5,3,ro,POINT (77.55193 13.27257)
Apex Bank,3,2,1kc,POINT (77.55602 12.94177)
Apex Bank,7,4,451,POINT (77.55567 12.94183)
Apollo Hospital,37,11,2ba,POINT (77.59972 12.89635)
Apollo Hospital,83,17,3pp,POINT (77.6 12.89662)
Appasandra,2,1,32i,POINT (77.89659 13.06317)
Aradeshanahalli Gate,8,5,13i,POINT (77.55258 13.21637)
Aradeshanahalli Gate,8,4,3p8,POINT (77.55266 13.21648)
Arahalli,2,1,3ur,POINT (77.9487 13.22301)
Arakere Gate,59,19,31j,POINT (77.59817 12.89053)
Arakere Gate,35,12,396,POINT (77.59804 12.89057)
Aralalusandra,5,2,2x7,POINT (77.45385 12.73311)
Aralalusandra Cross,8,3,2mx,POINT (77.46301 12.74341)
Aralimara (PK Kalyana Mantapa ),27,10,1wh,POINT (77.62459 12.88003)
Aralimara (PK Kalyana Mantapa ),7,4,2jk,POINT (77.62456 12.87985)
Aralimara Industrial Area  Rajajinagara,1,1,135,POINT (77.54909 12.97859)
Aralimara Industrial Area  Rajajinagara,1,1,3qz,POINT (77.54871 12.97857)
Aralimaradapalya Cross,2,1,1x0,POINT (77.36 12.92656)
Arasanahalli,4,1,16s,POINT (77.79732 13.20152)
Aravinda Limited,9,5,1rx,POINT (77.67002 12.81485)
Aravinda Limited,1,1,49v,POINT (77.67016 12.81475)
Arch Lingadeeranahalli,51,2,3e0,POINT (77.48872 12.99961)
Arch Lingadeeranahalli,33,2,d4,POINT (77.48869 12.99962)
Arch Railway Gollahalli,3,3,3u1,POINT (77.41192 13.1482)
Arch Railway Gollahalli,5,3,7z,POINT (77.41187 13.14818)
Are Bannimangala,3,2,39b,POINT (77.71757 13.15398)
Are Bannimangala,7,3,46n,POINT (77.71759 13.154)
Arebic College,43,12,3dp,POINT (77.62084 13.02992)
Arebic College,43,10,46v,POINT (77.62121 13.03049)
Arehalli,2,1,19t,POINT (77.82992 12.93738)
Arehalli,2,1,202,POINT (77.83035 12.93828)
Arehalli,7,4,3tn,POINT (77.53841 12.90857)
Arehalli,4,2,3ux,POINT (77.76696 12.76327)
Arehalli,34,10,f3,POINT (77.53855 12.90849)
Arehalli,4,2,hl,POINT (77.76729 12.76352)
Arehalli Cross,15,6,1ar,POINT (77.83665 12.94222)
Arehalli Cross,20,10,td,POINT (77.83669 12.94227)
Arenur,3,1,2ae,POINT (77.7749 12.80975)
Arishinakunte,3,2,15a,POINT (77.77355 13.20051)
Arishinakunte,101,14,46x,POINT (77.42417 13.08026)
Arishinakunte,167,29,8i,POINT (77.42419 13.07966)
Army Public School Kamaraja Road,1,1,34q,POINT (77.60941 12.97871)
Arogya Dhama,1,1,36u,POINT (77.35297 13.07838)
Art Of Living,40,13,1l4,POINT (77.5141 12.82261)
Art Of Living (Kanakapura Road),99,33,63,POINT (77.51415 12.82279)
Art Of Living Ravishankar Ashram,99,33,3y3,POINT (77.51259 12.82883)
Art Of Living Ravishankar Ashram,40,13,ym,POINT (77.51255 12.82863)
Ashoka Pillar,10,3,24q,POINT (77.58496 12.94367)
Ashoka Pillar,28,6,2r4,POINT (77.58515 12.94249)
Ashoka Pillar,33,8,2yv,POINT (77.58529 12.94322)
Ashrama Ramohalli,11,5,3a6,POINT (77.42892 12.90617)
Ashrama Ramohalli,1,1,3wx,POINT (77.42886 12.9063)
Ashwath Nagara,42,14,15i,POINT (77.63125 13.05274)
Ashwath Nagara,41,11,95,POINT (77.63144 13.05289)
Ashwath Nagara Cross,4,1,2wg,POINT (77.63067 13.05075)
Ashwath Nagara Cross,1,1,e9,POINT (77.63054 13.05078)
Ashwathkatte Kodihalli,2,1,2zc,POINT (77.81054 13.0186)
Ashwathkatte Manorayanapalya,10,2,210,POINT (77.60448 13.02795)
Ashwathkatte Sultanpalya,3,1,17x,POINT (77.60346 13.02459)
Ashwathkatte Sultanpalya,13,3,3ws,POINT (77.60341 13.0246)
Ashwathnagara,7,1,1m,POINT (77.57984 13.02679)
Ashwathnagara,9,4,1q5,POINT (77.57973 13.02691)
Attibele,5,3,2nh,POINT (77.76968 12.77787)
Attibele,4,2,2zk,POINT (77.76984 12.77799)
Attibele Bus Stand,11,4,14z,POINT (77.77061 12.77958)
Attibele Bus Stand,111,11,1zs,POINT (77.77086 12.77896)
Attibele Bus Stand,126,12,474,POINT (77.77077 12.77865)
Attibele Bus Stand,13,7,tt,POINT (77.77046 12.77954)
Attibele Sulibele,19,1,3ii,POINT (77.79388 13.16987)
Attibele Sulibele,25,4,48i,POINT (77.79387 13.1698)
Attiguppe,1,1,1ij,POINT (77.53435 12.95783)
Attiguppe,8,5,1x4,POINT (77.53395 12.95809)
Attiguppe,5,5,gj,POINT (77.53385 12.95789)
Attivatta Gate,3,2,zj,POINT (77.85527 13.09724)
Atturu,3,2,3j7,POINT (77.85864 13.09855)
Atturu Layout,5,2,26,POINT (77.56753 13.09793)
Atturu Layout,9,8,2w5,POINT (77.56763 13.09778)
Austin Town,2,2,1k4,POINT (77.61344 12.96156)
Austin Town,16,5,1lg,POINT (77.61456 12.96153)
Austin Town Neelasandra,17,5,b7,POINT (77.61254 12.9616)
Auto Gas/Royal School,9,3,3tf,POINT (77.58585 12.90133)
Avadadenahalli Gate,35,9,1ff,POINT (77.7078 12.74649)
Avadadenahalli Gate,38,7,1gj,POINT (77.70779 12.74668)
Avalahalli,6,3,19o,POINT (77.56924 13.13538)
Avalahalli,11,6,2jc,POINT (77.56915 13.13522)
Avalahalli,47,10,2u7,POINT (77.56665 12.87293)
Avalahalli,53,9,ev,POINT (77.56657 12.87276)
Avalahalli BDA Layout,3,2,1ji,POINT (77.56154 12.87383)
Avalahalli BDA Layout,4,1,6x,POINT (77.56153 12.87386)
Avalahalli BDA Park Girinagara,3,1,15e,POINT (77.54271 12.94332)
Avalahalli BDA Park Girinagara,2,1,3vr,POINT (77.54311 12.94328)
Avalahalli Hosakote,54,15,1p1,POINT (77.73575 13.0355)
Avalahalli Hosakote,77,33,2du,POINT (77.7358 13.03605)
Avalahalli Hosakote,5,2,481,POINT (77.73531 13.03591)
Avalakuppe Cross,2,2,1kr,POINT (77.34843 13.02384)
Avaragere,1,1,1z6,POINT (77.38079 12.82003)
Avaragere Cross,3,2,1sa,POINT (77.37782 12.80957)
Avaragere Cross,2,1,3zy,POINT (77.37784 12.80962)
Avasarala Factory Kanakapura Road,7,4,26q,POINT (77.49265 12.78204)
Avathi,3,1,ss,POINT (77.72548 13.29633)
Averahalli Cross,2,2,3q3,POINT (77.41493 13.04392)
Avinash Petrol Bunk,23,6,1q,POINT (77.58862 12.99045)
Ayurvedic Hospital Bodhanahosahalli,2,1,1a1,POINT (77.80022 12.96962)
Ayyappa School Kereguddadahalli,4,1,3bz,POINT (77.517 13.07468)
Ayyappa Temple Jalahalli Cross,34,9,2c2,POINT (77.52243 13.04623)
Ayyappa Temple Jalahalli Cross,25,9,zl,POINT (77.52231 13.0461)
Ayyappa Temple Yashawanthapura,110,29,2zl,POINT (77.56316 13.02159)
Ayyappa Temple Yashawanthapura,69,20,3c1,POINT (77.56321 13.02167)
Ayyappaswamy Temple Madivala,109,19,3n5,POINT (77.61791 12.92478)
Aziz Palya,3,1,2z7,POINT (77.36696 13.02712)
B Channasandra,9,3,28s,POINT (77.6576 13.01)
B Channasandra,1,1,3el,POINT (77.6576 13.0102)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),17,4,1bv,POINT (77.66209 13.01354)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),1,1,1cp,POINT (77.66257 13.01311)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),26,8,2a8,POINT (77.66272 13.01318)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),2,2,2j4,POINT (77.66199 13.01229)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),1,1,38z,POINT (77.66193 13.01329)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),51,8,487,POINT (77.66242 13.01128)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),69,14,gt,POINT (77.66232 13.0112)
B Hosur Circle,5,2,gy,POINT (77.4482 12.74247)
B Marenahalli,4,1,2bz,POINT (77.73759 13.16635)
B Narayanapura,65,31,35b,POINT (77.68399 13.00039)
B Narayanapura,44,20,3lw,POINT (77.68415 13.00028)
B Narayanapura Ring Road,50,7,2hv,POINT (77.68417 12.99583)
B Narayanapura Ring Road,47,11,so,POINT (77.68387 12.99589)
B Palya Razakapalya,3,2,2i0,POINT (77.6594 13.14436)
BCMC Layout Raghuvanahalli,1,1,1zu,POINT (77.54947 12.87833)
BCMC Layout Raghuvanahalli,3,2,3kk,POINT (77.54934 12.87838)
BDA Complex Cross Nagarabhavi,5,2,30q,POINT (77.51278 12.97199)
BDA Complex Cross Nagarabhavi,14,4,pc,POINT (77.51293 12.97211)
BDA Complex Koramangala,30,4,208,POINT (77.62221 12.93094)
BDA Complex Koramangala,26,9,e4,POINT (77.62248 12.93109)
BDA Complex Nagarabhavi,28,7,16,POINT (77.51064 12.97958)
BDA Complex Nagarabhavi,24,5,49y,POINT (77.51073 12.97938)
BDS Nagara,1,1,1o3,POINT (77.64309 13.06573)
BEL Circle,45,10,1ir,POINT (77.55489 13.04402)
BEL Circle,134,30,24x,POINT (77.55669 13.0452)
BEL Circle,25,4,2ez,POINT (77.55713 13.04339)
BEL Circle,18,1,3il,POINT (77.55806 13.04376)
BEL Circle,18,4,3t3,POINT (77.55654 13.04588)
BEL Circle,86,26,3wp,POINT (77.55583 13.04639)
BEL Hospital,18,4,2at,POINT (77.55745 13.05064)
BEL Hospital,11,4,3i4,POINT (77.55755 13.04987)
BEL Market,72,21,1co,POINT (77.55192 13.05189)
BEL Market 1,57,11,106,POINT (77.55193 13.05192)
BEML Complex,72,7,287,POINT (77.52028 12.91973)
BEML Complex,62,5,3uw,POINT (77.52033 12.91952)
BEML Gate,2,2,3vg,POINT (77.65859 12.97146)
BEML Gate,11,10,460,POINT (77.65873 12.9714)
BEML Layout 5th stage,182,16,2l0,POINT (77.52137 12.90685)
BEML Layout 5th stage,4,2,qs,POINT (77.52111 12.90684)
BEML Layout Gate,103,11,1nh,POINT (77.71641 12.96083)
BEML Layout Gate,122,13,fp,POINT (77.7165 12.96054)
BGS College Chikkaballapura,3,1,1o7,POINT (77.72662 13.39551)
BGS College Gate Devagere,1,1,2a4,POINT (77.46868 12.84759)
BGS College Gate Devagere,4,2,498,POINT (77.46871 12.84762)
BGS Health City Gate Abhiman Studio,13,6,1a3,POINT (77.49921 12.90706)
BGS Health City Gate Abhiman Studio,2,1,e6,POINT (77.49909 12.90714)
BGS PU College Thotagere,2,2,2v7,POINT (77.45141 13.14428)
BGS PU College Thotagere,3,1,3yk,POINT (77.45146 13.14427)
BGS School Banandur,2,1,3ct,POINT (77.39727 12.77952)
BHEL,164,25,27p,POINT (77.53583 12.94872)
