name,trip_count,route_count,id,geometry
Ravuthanahalli Cross,145,29,3kb,POINT (77.43938 13.07334)
Ravuthanahalli Cross,100,13,3n7,POINT (77.43959 13.07362)
Rayan Circle,193,40,1ed,POINT (77.5679 12.96047)
Rayan Circle,45,13,3nl,POINT (77.56889 12.96136)
Rayara Doddy,6,2,1ah,POINT (77.51368 12.76715)
Rayasandra,10,1,1lr,POINT (77.67211 12.87939)
Rayasandra,4,1,3b9,POINT (77.7256 13.21882)
Rayasandra,1,1,3ia,POINT (77.72563 13.21876)
Rayasandra,11,2,42z,POINT (77.67206 12.87945)
Rayasandra Circle,12,2,179,POINT (77.67126 12.87569)
Rayasandra Circle,14,3,2wb,POINT (77.67112 12.8757)
Rayasandra Cross,1,1,1zt,POINT (77.74139 13.21175)
Rayasandra Cross,4,1,2ov,POINT (77.74142 13.21176)
Razakpalya,3,2,3i6,POINT (77.65818 13.14592)
Razakpalya,1,1,8s,POINT (77.65823 13.14594)
Reddyhalli,1,1,1v,POINT (77.7545 13.18941)
Reliance Petrol Bunk Goraguntepalya,45,10,25g,POINT (77.5363 13.02866)
Reliance Petrol Bunk Goraguntepalya,58,9,mg,POINT (77.53612 13.02861)
Renuka Nagara,13,6,362,POINT (77.38812 13.1058)
Renuka Nagara,3,3,yp,POINT (77.38816 13.10567)
Reva College,1,1,s,POINT (77.63411 13.11532)
Reva College Gate,20,12,27a,POINT (77.63037 13.12214)
Reva College Gate,32,10,gu,POINT (77.63053 13.12226)
Richard Farm,9,3,3fb,POINT (77.52522 12.77797)
Richard Farm,8,3,3pw,POINT (77.52522 12.77774)
Richmond Circle,251,67,17j,POINT (77.59946 12.96738)
Richmond Circle,29,10,2d1,POINT (77.5964 12.96366)
Richmond Circle,167,29,38k,POINT (77.60433 12.9658)
Robin Theatre,16,4,1t7,POINT (77.47997 12.91588)
Robin Theatre,18,2,31n,POINT (77.47986 12.91602)
Rock Colony,5,2,2mb,POINT (77.50237 12.72256)
Rolling Mill,84,14,1bj,POINT (77.51474 13.02653)
Rolling Mill,78,12,2gc,POINT (77.51486 13.02648)
Roopena Agrahara,180,31,1hw,POINT (77.62579 12.91158)
Roopena Agrahara,194,36,2fe,POINT (77.62613 12.91197)
Roopena Agrahara,43,11,38q,POINT (77.626 12.91185)
Roopena Agrahara FLY,13,4,3ib,POINT (77.62589 12.91212)
Roopena Agrahara Toll,12,3,1la,POINT (77.62615 12.91162)
Royal Enclave,4,1,9l,POINT (77.61698 13.06572)
Royal Layout,2,2,13j,POINT (77.57581 12.86933)
Royal Layout,4,2,1ru,POINT (77.57581 12.86924)
Royal Meenakshi Mall,2,1,26d,POINT (77.59564 12.87642)
Royal Meenakshi Mall BG Road,2,2,3rq,POINT (77.59615 12.8765)
Rukmini Nagara,38,3,18q,POINT (77.50482 13.04099)
Rukmini Nagara,59,4,c4,POINT (77.50488 13.041)
Rupesh Hotel,1,1,2ht,POINT (77.66601 12.81165)
Rupesh Hotel,9,5,3gs,POINT (77.66589 12.81176)
Ryan International School,30,8,1f4,POINT (77.58483 12.81955)
Ryan International School,10,3,5b,POINT (77.58473 12.81953)
S Gollahalli,2,1,15m,POINT (77.36136 12.89388)
S Medahalli,9,5,1v5,POINT (77.78611 12.82387)
S Medahalli,14,5,381,POINT (77.78618 12.82365)
S Nagenahalli Gate,2,1,23y,POINT (77.55778 13.37149)
S R S Mathikere,23,6,1ag,POINT (77.53109 13.06144)
S R S Mathikere,52,7,2mm,POINT (77.53112 13.06145)
SAP Labs,122,13,2kw,POINT (77.71448 12.97765)
SAP Labs,103,11,35f,POINT (77.7144 12.9778)
SBI Bank,15,7,2z2,POINT (77.54625 13.07239)
SBI Bank,34,12,b2,POINT (77.5461 13.07237)
SBM Gayathri Nagara,10,1,1f0,POINT (77.5604 12.99991)
SBM Gayathri Nagara,1,1,3pe,POINT (77.56035 12.99993)
SFS High School Hebbagodi,61,6,2jw,POINT (77.6802 12.83381)
SFS High School Hebbagodi,39,3,e7,POINT (77.6801 12.83342)
SI Apartment HSR Layout,105,14,36s,POINT (77.6294 12.91668)
SI Apartment HSR Layout,85,12,3hg,POINT (77.62942 12.91677)
SJES College,54,15,169,POINT (77.715 13.023)
SJES College,82,35,wq,POINT (77.71589 13.02393)
SKF Factory,18,10,2zr,POINT (77.74189 13.06116)
SKF Factory,13,5,6c,POINT (77.74195 13.06124)
SLV Bakery,8,3,3de,POINT (77.54322 12.92127)
SLV Bakery,7,2,wa,POINT (77.54316 12.92117)
SMVIT College,2,2,3b4,POINT (77.61168 13.15169)
SMVIT College,2,1,3wq,POINT (77.61167 13.15178)
SMVIT Cross,2,2,1an,POINT (77.61977 13.15197)
SMVIT Cross,30,13,1u0,POINT (77.62063 13.15197)
SMVIT Cross,41,15,yc,POINT (77.62015 13.15209)
SRS Peenya,156,28,1cb,POINT (77.52987 13.03471)
SRS Peenya,216,64,1od,POINT (77.53032 13.03428)
SSVB Bakery Kanteerava Studio,16,2,3se,POINT (77.53397 13.01365)
SVR College,8,3,234,POINT (77.65058 12.90225)
Saalu Doddy,99,33,2r0,POINT (77.51308 12.83077)
Saalu Doddy,40,13,3hv,POINT (77.513 12.8306)
Sadahalli,5,3,36t,POINT (77.64734 13.21208)
Sadahalli,3,2,3sr,POINT (77.64726 13.21199)
Sadahalli Gate,42,18,2ti,POINT (77.64626 13.19051)
Sadahalli Gate,49,17,33i,POINT (77.64583 13.19072)
Sadananda Nagara,2,2,3bd,POINT (77.65799 12.99442)
Sadananda Nagara,10,4,tm,POINT (77.65825 12.99446)
Sadaramangala,16,1,1aw,POINT (77.73677 12.99921)
Sadaramangala Gate,16,1,249,POINT (77.73666 12.99778)
Sadashivanagara Police Station,14,3,3zk,POINT (77.57269 13.01553)
Sadashivanagara Police Station,11,4,ka,POINT (77.57277 13.01587)
Sadhanapalya,3,1,3zv,POINT (77.48288 12.76858)
Sadhanapalya Gate,39,14,32o,POINT (77.48881 12.76807)
Sadhanapalya Gate,19,7,3wf,POINT (77.48864 12.76801)
Sadhapanalli Gate,19,1,19q,POINT (77.79286 13.16299)
Sadhapanalli Gate,25,4,2xp,POINT (77.7928 13.16294)
Safal Market,28,4,17w,POINT (77.75986 13.03799)
Safal Market,37,10,1yq,POINT (77.75976 13.03799)
Sahakara Nagara Police Station,1,1,3hd,POINT (77.58336 13.06414)
Sahakara Nagara Post Office,2,2,1zl,POINT (77.58731 13.06142)
Sahukarapalya,1,1,1zm,POINT (77.28899 13.06533)
Sai Baba General Hospital,51,11,1nm,POINT (77.75065 12.97454)
Sai Baba General Hospital,111,15,1oy,POINT (77.75042 12.97383)
Sai Baba Temple (Avathi),3,1,3f6,POINT (77.72277 13.2829)
Sai Lakshmi Industries,34,6,37f,POINT (77.76173 13.02458)
Sai Lakshmi Industries,37,10,42j,POINT (77.76162 13.02454)
Sajjan Rao Circle,1,1,aa,POINT (77.57738 12.95301)
Sajjan Rao Circle,78,19,gg,POINT (77.57653 12.95262)
Sakalavara,5,3,2l4,POINT (77.60905 12.8207)
Saluhunase,40,13,1ti,POINT (77.51148 12.81079)
Saluhunase,92,31,3o,POINT (77.51157 12.81095)
Samanduru,1,1,1fh,POINT (77.753 12.71526)
Samanduru,1,1,42d,POINT (77.75291 12.71526)
Sambhram College,15,8,49j,POINT (77.54669 13.0883)
Sambhram College,36,12,lp,POINT (77.54666 13.08827)
Samethanahalli,28,15,1pp,POINT (77.78981 12.98027)
Samethanahalli,49,24,7e,POINT (77.78987 12.98027)
Sampangere,1,1,2xy,POINT (77.88294 12.87444)
Sampangiram Nagara,10,3,2s,POINT (77.58593 12.82495)
Sampangiram Nagara,30,8,3y6,POINT (77.58623 12.8254)
Sampige Nagara 1,1,1,35a,POINT (77.69798 12.83929)
Sampigehalli Bannerughatta,16,3,qj,POINT (77.57887 12.80536)
Sampigehalli Bannerughatta,9,2,ye,POINT (77.57879 12.80519)
Sangam Circle,3,1,1mk,POINT (77.57789 12.91756)
Sangam Circle,113,18,hh,POINT (77.57733 12.91763)
Sangam Circle,152,21,zk,POINT (77.57875 12.91704)
Sanjay Gandhi Hospital,22,5,m4,POINT (77.59299 12.927)
Sanjay Gandhi Hospital,30,5,s7,POINT (77.59309 12.92707)
Sanjay Gandhi Nagara,1,1,w2,POINT (77.52627 13.01886)
Sanjayanagara,9,3,1zn,POINT (77.57565 13.03421)
Sanjayanagara,7,2,2f9,POINT (77.57571 13.03404)
Sanjeevanapalya,1,1,rn,POINT (77.15454 13.0808)
SanjeeviniNagara,3,2,1fe,POINT (77.59144 13.05759)
SanjeeviniNagara,3,3,3bj,POINT (77.59146 13.05763)
Sanna Amanikere,22,8,1b4,POINT (77.69477 13.23411)
Sanna Amanikere,30,9,47y,POINT (77.6946 13.23419)
Sannathammanahalli,28,4,3nr,POINT (77.76062 13.04778)
Sannathammanahalli,37,10,sa,POINT (77.76054 13.04814)
Santekatte,40,13,3ly,POINT (77.51056 12.80664)
Santekatte,92,31,m1,POINT (77.51063 12.8067)
Santhe Devanagondhi,12,7,191,POINT (77.83932 12.96585)
Santhe Devanagondhi,5,4,1sf,POINT (77.83936 12.96581)
Santhe Gate,9,4,1a7,POINT (77.79532 13.07669)
Santhe Gate,27,13,9u,POINT (77.79507 13.07696)
Sapalamma Devi Temple,1,1,y4,POINT (77.91101 13.09802)
Sapthagiri College,60,15,1x7,POINT (77.50335 13.06675)
Sapthagiri College,97,31,3q6,POINT (77.50328 13.06685)
Sapthagiri Convention Hall,55,23,bj,POINT (77.75676 13.0509)
Sapthagiri Convention Hall,34,9,et,POINT (77.75648 13.05027)
Sapthagiri Hospital,60,15,1g6,POINT (77.50395 13.07066)
Sapthagiri Hospital,97,31,py,POINT (77.50387 13.07067)
Sapthagiri Layout,39,11,2rp,POINT (77.6106 13.1045)
Sapthagiri Layout,45,12,5k,POINT (77.61045 13.10458)
Sarakari Guttahalli Cross,1,1,3c0,POINT (77.78485 13.04632)
Sarakari Guttahalli Cross,2,1,426,POINT (77.7849 13.04637)
Sarakki,158,49,13u,POINT (77.57299 12.9097)
Sarakki,111,29,38,POINT (77.57288 12.90966)
Sarakki Signal,2,1,2az,POINT (77.57334 12.9067)
Sarala Birla Academy,10,5,2ud,POINT (77.58446 12.81171)
Sarala Birla Academy,1,1,3wu,POINT (77.58449 12.81159)
Saraswathi Nagara,12,4,27f,POINT (77.53041 12.9738)
Saraswathi Nagara,16,4,4a8,POINT (77.53031 12.9736)
Saraswathipuram,1,1,1yx,POINT (77.53816 13.00911)
Saraswathipuram,9,2,2de,POINT (77.53824 13.00915)
Sarathi Nagara,4,2,3ku,POINT (77.57322 12.87387)
Sarathi Nagara,2,2,nn,POINT (77.57312 12.87397)
